system:index,VH,VV,date,forest,.geo
0_S1A_IW_GRDH_1SDV_20180121T154750_20180121T154815_020254_022932_A756,-17.49701460913404,-11.67069879897597,2018-01-21,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180214T154750_20180214T154815_020604_023462_5379,-17.928370197700303,-12.09273628937125,2018-02-14,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180226T154750_20180226T154815_020779_0239F8_D4F9,-17.935052951764128,-12.076569761795223,2018-02-26,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180310T154750_20180310T154815_020954_023F78_59A3,-18.21325050604192,-12.120039320267592,2018-03-10,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180403T154750_20180403T154815_021304_024A8E_03EA,-17.166438478185242,-10.789836818789848,2018-04-03,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180415T154750_20180415T154815_021479_025000_EC6E,-16.12685154451194,-10.048692361090165,2018-04-15,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180427T154751_20180427T154816_021654_025577_DF9C,-16.11314908719485,-9.928348926378575,2018-04-27,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180509T154752_20180509T154817_021829_025B05_D4C3,-16.447470840755052,-10.25942884625217,2018-05-09,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180521T154752_20180521T154817_022004_02609B_EC8E,-16.46180914440868,-10.417786902151883,2018-05-21,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180602T154753_20180602T154818_022179_02662A_6809,-16.290529351911506,-10.418155576232062,2018-06-02,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180614T154754_20180614T154819_022354_026B9B_B5D1,-16.89723571589049,-10.865704304514162,2018-06-14,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180626T154755_20180626T154820_022529_0270C1_4036,-16.584679345774692,-10.653273041778087,2018-06-26,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180708T154755_20180708T154820_022704_0275DE_CDDC,-16.88809985950602,-10.86367506194778,2018-07-08,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180720T154756_20180720T154821_022879_027B39_EFCC,-17.143238960094433,-11.051848672838824,2018-07-20,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180801T154757_20180801T154822_023054_0280C3_BB25,-17.389659833830553,-11.350136504009589,2018-08-01,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180813T154757_20180813T154822_023229_02865E_EBB5,-17.148092194462375,-11.332231720821932,2018-08-13,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180825T154758_20180825T154823_023404_028BFD_95E1,-17.513601239223313,-11.497137872767182,2018-08-25,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180906T154759_20180906T154824_023579_029194_FF44,-17.687213149233266,-11.653676965068248,2018-09-06,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180918T154759_20180918T154824_023754_029730_09DF,-17.970490511534592,-11.965823936903224,2018-09-18,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20180930T154759_20180930T154824_023929_029CDF_A5AE,-18.00497272753081,-11.948247933599673,2018-09-30,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20181012T154759_20181012T154824_024104_02A29D_CB58,-18.16163272376277,-12.018393180418167,2018-10-12,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20181024T154759_20181024T154824_024279_02A849_C63E,-18.019834189362623,-11.556107424513083,2018-10-24,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20181105T154759_20181105T154824_024454_02AE3F_A61A,-18.137210562327308,-11.654229982247582,2018-11-05,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20181117T154759_20181117T154824_024629_02B4AC_407B,-15.543549060021256,-9.215964939223706,2018-11-17,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20181129T154759_20181129T154824_024804_02BB01_056D,-17.48423281271664,-10.863321876570652,2018-11-29,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20181211T154758_20181211T154823_024979_02C0FE_0B5A,-15.941800752106484,-9.716013514259512,2018-12-11,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20181223T154758_20181223T154823_025154_02C74D_808C,-16.5394939521805,-10.384159512386356,2018-12-23,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190104T154757_20190104T154822_025329_02CD9C_894A,-15.207450687412202,-9.365283022405622,2019-01-04,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190116T154757_20190116T154822_025504_02D3EE_F68A,-15.793329921762115,-9.80343464549798,2019-01-16,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190128T154757_20190128T154822_025679_02DA52_A863,-17.000895598660602,-10.953092040313578,2019-01-28,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190209T154756_20190209T154821_025854_02E09C_089A,-17.03564807908225,-11.213690189667965,2019-02-09,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190221T154756_20190221T154821_026029_02E6CE_47DD,-17.47229078477851,-11.215920774202486,2019-02-21,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190305T154756_20190305T154821_026204_02ED1A_EEA0,-16.925269091797446,-10.638117860481128,2019-03-05,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190317T154756_20190317T154821_026379_02F38A_6C03,-17.90131979510989,-11.495425530040814,2019-03-17,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190329T154756_20190329T154821_026554_02F9F5_4F2D,-16.608300684165457,-10.037913759112778,2019-03-29,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190410T154757_20190410T154822_026729_030068_B2E8,-18.204402761614595,-11.572918133503835,2019-04-10,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190422T154757_20190422T154822_026904_0306B6_B37A,-18.370847544658183,-11.744055988006313,2019-04-22,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190504T154741_20190504T154806_027079_030D19_8198,-17.780463760493173,-11.091786747542502,2019-05-04,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190516T154758_20190516T154823_027254_0312B6_D837,-17.474565491102425,-10.886235507333163,2019-05-16,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190528T154759_20190528T154824_027429_03182B_0ABE,-17.233481008870484,-10.603480215475033,2019-05-28,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190609T154759_20190609T154824_027604_031D90_70FB,-17.49254376375672,-10.81626453285898,2019-06-09,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190621T154800_20190621T154825_027779_0322C5_5627,-17.730255924587322,-10.999647030443985,2019-06-21,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190703T154801_20190703T154826_027954_03280E_8368,-17.730461553413253,-11.27817205155651,2019-07-03,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190715T154802_20190715T154827_028129_032D5A_8EDB,-18.156313009576785,-11.681945042401034,2019-07-15,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190727T154802_20190727T154827_028304_0332B1_48A7,-18.12164964101779,-11.754216575618894,2019-07-27,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190808T154803_20190808T154828_028479_033812_27BB,-18.169299002901926,-11.8199546035785,2019-08-08,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190820T154804_20190820T154829_028654_033E23_64A8,-18.512095048530732,-12.015291701800528,2019-08-20,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190901T154804_20190901T154829_028829_03443D_EB0F,-16.005779041901622,-9.510086398308305,2019-09-01,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190913T154805_20190913T154830_029004_034A4F_00C5,-18.72370520149828,-12.135960942190165,2019-09-13,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190925T154806_20190925T154831_029179_035044_4834,-18.806593282587716,-12.169540997460516,2019-09-25,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20191007T154806_20191007T154831_029354_035651_F737,-18.27081949080577,-11.486934202562304,2019-10-07,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20191019T154806_20191019T154831_029529_035C5A_8CF7,-16.965690255952165,-10.009451925660004,2019-10-19,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20191031T154806_20191031T154831_029704_036270_A4E6,-16.578537742732898,-9.738409482658938,2019-10-31,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20191112T154806_20191112T154831_029879_036892_5424,-16.50213916901841,-9.765467586073497,2019-11-12,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
