system:index,B2_mean,B4_mean,B5_mean,B6_mean,B7_mean,date,image_count,interpolated_flag,month,year,.geo
94,12972.38692,14328.22099,19376.66222,17838.10477,14617.66043,11/1/2020,6,0,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,13822.2303,14984.27619,21570.17189,17671.72336,14366.83519,12/1/2020,8,0,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,14514.04468,15824.81844,21543.40155,18690.03587,15493.40606,1/1/2021,8,0,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,18581.21315,19704.68036,23886.52107,19183.81377,16537.70266,2/1/2021,5,0,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,12360.64917,14351.59566,19268.39731,18717.76551,15623.89327,3/1/2021,8,0,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,16122.45789,17513.52788,22342.83748,19272.7669,15962.82329,4/1/2021,8,0,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,20999.15464,21488.18586,25797.62711,21228.4241,17390.70663,5/1/2021,8,0,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,16390.57391,17837.78258,22404.6661,20146.51506,16790.38512,6/1/2021,8,0,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,16415.20332,17953.68938,21447.01429,20533.00195,17183.09594,7/1/2021,5,0,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,15692.90804,17846.05632,21233.09889,21265.48691,18141.29531,8/1/2021,8,0,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,13772.18875,16346.70218,19732.23256,20710.87618,17496.29217,9/1/2021,8,0,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,12789.57072,15201.84587,18603.96562,19834.42853,16589.73397,10/1/2021,7,0,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,15039.98069,17139.15304,20073.2906,19639.36466,16285.24825,11/1/2021,7,0,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,17191.65713,18029.55374,22925.4149,18255.64456,14797.97721,12/1/2021,6,0,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,11058.06245,12420.5541,20413.41651,16561.90988,13375.13449,1/1/2022,8,0,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,11806.14335,13740.09172,19612.16257,16970.52019,14297.80944,2/1/2022,8,0,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,13739.61312,15680.919,20029.57812,19323.27255,16068.70904,3/1/2022,8,0,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,14586.0369,16247.28826,20648.21826,19230.65151,16059.9184,4/1/2022,8,0,4,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,17580.78447,18751.89838,23257.89199,20475.45647,16976.52091,5/1/2022,6,0,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
