system:index,VH,VV,date,forest,.geo
0_S1A_IW_GRDH_1SDV_20190329T154756_20190329T154821_026554_02F9F5_4F2D,-16.608300684165457,-10.037913759112778,2019-03-29,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190410T154757_20190410T154822_026729_030068_B2E8,-18.204402761614595,-11.572918133503837,2019-04-10,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190422T154757_20190422T154822_026904_0306B6_B37A,-18.370847544658186,-11.744055988006313,2019-04-22,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190504T154741_20190504T154806_027079_030D19_8198,-17.780463760493173,-11.091786747542502,2019-05-04,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190516T154758_20190516T154823_027254_0312B6_D837,-17.474565491102425,-10.886235507333165,2019-05-16,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190528T154759_20190528T154824_027429_03182B_0ABE,-17.233481008870484,-10.603480215475031,2019-05-28,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190609T154759_20190609T154824_027604_031D90_70FB,-17.49254376375672,-10.816264532858979,2019-06-09,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190621T154800_20190621T154825_027779_0322C5_5627,-17.730255924587322,-10.999647030443983,2019-06-21,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190703T154801_20190703T154826_027954_03280E_8368,-17.730461553413253,-11.27817205155651,2019-07-03,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190715T154802_20190715T154827_028129_032D5A_8EDB,-18.156313009576785,-11.681945042401034,2019-07-15,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190727T154802_20190727T154827_028304_0332B1_48A7,-18.12164964101779,-11.754216575618894,2019-07-27,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190808T154803_20190808T154828_028479_033812_27BB,-18.169299002901926,-11.8199546035785,2019-08-08,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190820T154804_20190820T154829_028654_033E23_64A8,-18.512095048530735,-12.015291701800527,2019-08-20,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190901T154804_20190901T154829_028829_03443D_EB0F,-16.005779041901622,-9.510086398308305,2019-09-01,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190913T154805_20190913T154830_029004_034A4F_00C5,-18.72370520149828,-12.135960942190165,2019-09-13,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20190925T154806_20190925T154831_029179_035044_4834,-18.806593282587713,-12.169540997460517,2019-09-25,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20191007T154806_20191007T154831_029354_035651_F737,-18.27081949080577,-11.486934202562303,2019-10-07,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20191019T154806_20191019T154831_029529_035C5A_8CF7,-16.965690255952165,-10.009451925660004,2019-10-19,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20191031T154806_20191031T154831_029704_036270_A4E6,-16.578537742732898,-9.738409482658938,2019-10-31,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20191112T154806_20191112T154831_029879_036892_5424,-16.50213916901841,-9.765467586073495,2019-11-12,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20191124T154805_20191124T154830_030054_036EA2_71E0,-15.99167690897199,-9.748840146332777,2019-11-24,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20191206T154805_20191206T154830_030229_0374B0_06E5,-15.85873697915209,-9.580801483542222,2019-12-06,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20191218T154804_20191218T154829_030404_037ABF_33CD,-16.407591255601464,-10.105568402327641,2019-12-18,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20191230T154804_20191230T154829_030579_0380C3_3999,-16.165601150749705,-9.905419524570867,2019-12-30,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200111T154803_20200111T154828_030754_0386D1_0353,-16.483065310646086,-10.185976082943162,2020-01-11,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200123T154803_20200123T154828_030929_038CF5_1619,-16.55888537908686,-10.375216752342224,2020-01-23,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200204T154803_20200204T154828_031104_039319_1396,-16.152453215690095,-9.89502218292038,2020-02-04,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200216T154802_20200216T154827_031279_039924_AC2D,-15.040634933469024,-9.047934763009374,2020-02-16,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200228T154802_20200228T154827_031454_039F25_00AD,-16.00158000338779,-9.756858351450187,2020-02-28,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200311T154802_20200311T154827_031629_03A53B_1E4B,-16.432564912019366,-10.206195584775053,2020-03-11,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200323T154803_20200323T154828_031804_03AB68_5DE4,-16.753773169806642,-10.440972278968458,2020-03-23,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_S1A_IW_GRDH_1SDV_20200404T154803_20200404T154828_031979_03B18F_3A07,-16.512776692677278,-10.164900590650674,2020-04-04,mulooni,"{""type"":""MultiPoint"",""coordinates"":[]}"
